,SA2 Code,SA2 Name,Rent2006,Rent2011,Rent2016,Rent%2006-2011,Rent%2011-2016,Rent%2006_2016,House_avg2006,House_avg2011,House_avg2016,House%2006_2011,House%2011_2016,House%2006_2016,Income_total_2006,Income_total_2011,Income_total_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016,2006 Bachelor 25 and over,2011 Bachelor 25 and over,2016 Bachelor 25 and over,Bachelor%2006-2011,Bacherlor%2011-2016,Bacherlor%2006-2016,Sum2006-2011,Sum2011-2016,Sum2006-2016
9,503011030,City Beach,549,950,950,0.73,0,0.73,2.8,2.84,2.88,0.01,0.02,0.03,2999,3000,7999,0,1.67,1.67,1756,1988,2201,0.03,0.01,0.04,0.77,1.7,2.47
161,507041182,Murdoch - Kardinya,224,549,549,1.45,0,1.45,2.79,2.71,2.61,-0.03,-0.04,-0.07,1249,1999,2499,0.6,0.25,1,1673,2188,2673,0.06,0.02,0.09,2.08,0.23,2.47
8,502011029,Pinjarra,124,224,374,0.81,0.67,2.02,2.5,2.55,2.57,0.02,0,0.02,599,599,799,0,0.33,0.33,181,357,496,0.03,0,0.03,0.86,1,2.4
12,503011033,Floreat,224,549,649,1.45,0.18,1.9,2.84,2.97,3.01,0.04,0.01,0.06,2999,3000,3999,0,0.33,0.33,1947,2276,2822,0.05,0.04,0.09,1.54,0.56,2.38
64,505021085,Balga - Mirrabooka,174,324,374,0.86,0.15,1.15,2.69,2.76,2.72,0.02,-0.01,0.01,599,599,1249,0,1.09,1.09,607,1072,1945,0.05,0.08,0.12,0.93,1.31,2.37
45,504031066,Midland - Guildford,174,324,374,0.86,0.15,1.15,2.14,2.14,2.19,0,0.02,0.02,599,799,1249,0.33,0.56,1.09,656,1029,1318,0.04,0.02,0.06,1.23,0.75,2.32
110,506031128,Parkwood - Ferndale - Lynwood,174,374,374,1.15,0,1.15,2.48,2.5,2.52,0.01,0.01,0.02,1249,999,2499,-0.2,1.5,1,1322,1873,2435,0.07,0.05,0.12,1.03,1.56,2.29
151,507031173,Kwinana Industrial,74,74,74,0,0,0,0.82,0,3.5,0,0,3.28,1249,1249,299,0,-0.76,-0.76,14,0,0,-0.23,0,-0.23,-0.23,-0.76,2.29
20,503021041,Perth City,274,549,549,1,0,1,1.78,1.85,1.9,0.04,0.03,0.07,1249,2999,2499,1.4,-0.17,1,4197,8035,10892,0.11,0.03,0.14,2.55,-0.11,2.21
44,504031065,Middle Swan - Herne Hill,174,324,374,0.86,0.15,1.15,2.59,2.57,2.55,-0.01,-0.01,-0.01,1249,1249,2499,0,1,1,218,304,437,0.02,0.04,0.06,0.87,1.18,2.2
